DEST,TE_DEST
MSO,0.46584362139917695
PLN,0.4700854700854701
MGM,0.42837653478854026
VPS,0.5127701375245579
ROA,0.447741935483871
AZO,0.3674418604651163
GNV,0.39622641509433965
LAS,0.5931037447869641
BHM,0.506268081002893
SYR,0.5371938658731975
ECP,0.5202312138728323
MEM,0.5365172107201829
GRK,0.37579617834394907
AMA,0.5302123026673925
GRI,0.4115384615384615
VLD,0.3521739130434783
MLB,0.4239520958083832
CMI,0.3914081145584726
KOA,0.45466226138032306
SUX,0.4845360824742268
MEI,0.47478991596638653
TXK,0.37383177570093457
MOT,0.37937384898710863
LAX,0.5108765685883472
DHN,0.28708133971291866
OMA,0.5296411856474259
TVC,0.42981072555205047
LIH,0.44843842074248674
PIB,0.3723404255319149
HLN,0.3333333333333333
MYR,0.4991859991859992
CHO,0.36830102622576966
ROC,0.5189225289403384
JFK,0.5360048731671235
LCH,0.3980263157894737
SDF,0.49092607419268747
MFE,0.552917903066271
ELM,0.3488372093023256
PDX,0.49979281052522534
YUM,0.32207207207207206
CSG,0.3862815884476534
BOS,0.5561847635208461
JLN,0.42857142857142855
SAF,0.39517625231910947
PHX,0.5078265687768388
FSM,0.3618421052631579
BRW,0.5298507462686567
APN,0.4732824427480916
CDC,0.20149253731343283
BTM,0.13414634146341464
MSP,0.4272431677102088
HSV,0.4274525968672712
TWF,0.10377358490566038
LIT,0.5134517766497462
BQK,0.39035087719298245
MHT,0.5241971958389868
INL,0.3333333333333333
SAV,0.49747254662715706
RDD,0.3955056179775281
HOU,0.5337816371915705
MCI,0.55012210722177
RHI,0.25742574257425743
MQT,0.48148148148148145
TUS,0.5025744759102612
MTJ,0.48975188781014023
TYS,0.47562707051585423
BLI,0.5068664169787765
DAY,0.41170778906627964
LAN,0.356234096692112
SBP,0.46062210456651226
OGG,0.4207474226804124
LBE,0.5644444444444444
LEX,0.4344484629294756
PSP,0.47637525679068704
SHV,0.39722463139635733
CMH,0.5157449250412453
CRW,0.44015080113100846
DLH,0.37800687285223367
MRY,0.4538893344025662
CID,0.5204841713221602
TTN,0.6840317100792752
TLH,0.4171270718232044
RDM,0.3620788121073672
GTF,0.34763948497854075
GTR,0.37735849056603776
JAX,0.5630085334391745
MFR,0.38908829863603733
BUR,0.5256244402428102
SBA,0.5018315018315018
GUC,0.5019762845849802
FLG,0.34823529411764703
PBI,0.5910926980838943
HDN,0.5304010349288486
ALB,0.5524114173228346
RKS,0.3308270676691729
SIT,0.45372460496614
MCO,0.6048591883877521
BTV,0.4470868014268728
PSE,0.8056112224448898
TRI,0.3997214484679666
AGS,0.434061135371179
EKO,0.16129032258064516
YAK,0.4155251141552511
LFT,0.42775881683731515
EUG,0.4780720798957881
SFO,0.5273755462256876
LAW,0.3357142857142857
OAJ,0.36826347305389223
BTR,0.41875
