OP_CARRIER,TE_OP_CARRIER
OH,0.40071757895101745
9E,0.3830240549828179
B6,0.646090161404528
MQ,0.42320215280771917
DL,0.4643439367305465
YX,0.3336607647159942
NK,0.6208941560444591
AA,0.5372481482610418
UA,0.5113052749810765
HA,0.5116518037359169
OO,0.394126592402772
AS,0.45177165354330706
G4,0.5595213210702341
F9,0.6568552280343045
WN,0.5656672033262473
